,fullname,uni_name
1786,Sylwia Rudnicka,Akademia_Polonijna_w_Częstochowie
1787,Paweł Rudnicki,Dolnośląska_Szkoła_Wyższa_z_siedzibą_we_Wrocławiu
1790,Joanna Rudzińska-Wojciechowska,Akademia_Leona_Koźmińskiego_w_Warszawie
1791,Marta Małgorzata Rukat,Uniwersytet_Warmińsko-Mazurski_w_Olsztynie
1805,Jan Michał Rybak,Politechnika_Rzeszowska_Ignacego_Łukasiewicza
1811,Ludmiła Rycielska,Instytut_Badań_Edukacyjnych
1825,Marta Małgorzata Rzadkiewicz,Warszawski_Uniwersytet_Medyczny
1827,Ewa Rzechowska,Niepaństwowa_Wyższa_Szkoła_Pedagogiczna_w_Białymstoku
1831,Ludmila Sadovnicova,Wyższa_Szkoła_Bankowa_w_Poznaniu
1833,Mariusz Sagan,Szkoła_Główna_Handlowa_w_Warszawie
1838,Aleksandra Anna Samełko,Akademia_Wychowania_Fizycznego_Józefa_Piłsudskiego_w_Warszawie
1846,Monika Joanna Sawicka,Uniwersytet_Warmińsko-Mazurski_w_Olsztynie
1848,PRZEMYSŁAW SAWICKI,Akademia_Leona_Koźmińskiego_w_Warszawie
1856,Małgorzata Sekułowicz,Akademia_Wychowania_Fizycznego_we_Wrocławiu
1866,Andrzej Sędek,Uniwersytet_Przyrodniczo-Humanistyczny_w_Siedlcach
1870,Volodymyr Shakhov,Staropolska_Akademia_Nauk_Stosowanych_w_Kielcach
1872,Elżbieta Siarkiewicz,Dolnośląska_Szkoła_Wyższa_z_siedzibą_we_Wrocławiu
1878,Małgorzata Siekańska,Akademia_Wychowania_Fizycznego_Bronisława_Czecha_w_Krakowie
1887,Julia Ewa Sikorska,Uniwersytet_Mikołaja_Kopernika_w_Toruniu
1892,Małgorzata Sitarczyk,Wyższa_Szkoła_Ekonomii_i_Innowacji_w_Lublinie
1897,Katarzyna Skałacka,Uniwersytet_Opolski
1899,Anna Barbara Skiert,Wyższa_Szkoła_Nauk_Społecznych_z_siedzibą_w_Lublinie
1902,Katarzyna Skok,Uniwersytet_w_Białymstoku
1907,Natalia Skrzyczewska,Uniwersytet_Zielonogórski
1910,Anna Izabela Skuzińska,Akademia_Medycznych_i_Społecznych_Nauk_Stosowanych
1913,Radosław Paweł Sławomirski,Wyższa_Szkoła_Bezpieczeństwa_w_Poznaniu
